"id_rest","street_num","street_name","city","county_name","lat","lng"
1,242,"church st","san francisco","San Francisco",37.76665,-122.42912
2,135,"el camino real","san carlos","San Mateo",37.51181,-122.26588
3,430,"broadway","san francisco","San Francisco",37.79845,-122.40444
4,1103,"e. el camino real","sunnyvale","Santa Clara",37.35267,-122.00065
5,833,"w. el camino real","sunnyvale","Santa Clara",37.371,-122.04157
6,NA,"","san rafael","Marin",37.97461,-122.53288
7,155,"san fernando","san jose","Santa Clara",37.33332,-121.89185
8,2118,"mt diablo st","concord","Contra Costa",37.9785668,-122.0353189
9,3005,"alamo drive (corner nut tree)","vacaville","Solano",38.3354649,-121.9546628
11,907,"irving","san francisco","San Francisco",37.76384,-122.46764
12,10905,"wolfe rd. cupertino","cupertino","Santa Clara",37.33616,-122.01501
13,4857,"fremont blvd","fremont","Alameda",37.54264,-121.9769
14,1520,"park st","alameda","Alameda",37.76592,-122.24115
15,1231,"park st","alameda","Alameda",37.76194,-122.24507
16,2375,"shoreline dr","alameda","Alameda",37.75472,-122.2505
17,979,"san pablo ave","albany","Alameda",37.88755,-122.29771
18,1477,"solano ave","albany","Alameda",37.89111,-122.28836
19,2009,"somersville rd","antioch","Contra Costa",38.00226,-121.83856
20,511,"claverie way","benicia","Solano",38.05633,-122.16529
21,1034,"1st st","benicia","Solano",38.05258,-122.15619
22,NA,"2nd st","benicia","Solano",38.08115,-122.12467
23,2072,"san pablo ave.","berkeley","Alameda",37.8681,-122.29223
24,2000,"university ave","berkeley","Alameda",37.87161,-122.27048
25,1300,"4th st","berkeley","Alameda",37.87827,-122.30386
26,2922,"domingo ave","berkeley","Alameda",NA,NA
27,1974,"shattuck ave","berkeley","Alameda",37.87262,-122.26878
28,1135,"2nd st","brentwood","Contra Costa",37.93686,-121.69814
29,8300,"brentwood blvd # a","brentwood","Contra Costa",37.93402,-121.69729
30,1631,"lincoln ave","calistoga","Napa",38.58158,-122.57721
31,1374,"lincoln ave","calistoga","Napa",38.57841,-122.57888
32,580,"w hamilton ave","campbell","Santa Clara",37.29377,-121.95971
33,2060,"s bascom ave","campbell","Santa Clara",37.28571,-121.93124
34,3240,"castro valley blvd","castro valley","Alameda",NA,NA
35,3774,"castro valley blvd","castro valley","Alameda",37.69478,-122.06966
36,1089,"oak grove rd","concord","Contra Costa",NA,NA
37,4391,"treat blvd","concord","Contra Costa",37.96197,-121.99461
38,1313,"willow pass rd","concord","Contra Costa",37.96906,-122.05237
39,4050,"port chicago hwy","concord","Contra Costa",38.01348,-122.01893
40,4301,"clayton rd","concord","Contra Costa",37.96483,-121.99179
41,2090,"diamond blvd","concord","Contra Costa",37.97464,-122.05804
42,1100,"concord ave","concord","Contra Costa",37.97888,-122.05803
43,NA,"","cupertino","Santa Clara",37.31913,-122.02929
44,21267,"stevens creek blvd","cupertino","Santa Clara",37.32349,-122.0474
45,10215,"anthony pl","cupertino","Santa Clara",37.32554,-122.07208
46,10145,"n de anza blvd","cupertino","Santa Clara",37.32452,-122.0327
47,10700,"s de anza blvd","cupertino","Santa Clara",37.31311,-122.03189
48,10343,"n wolfe rd","cupertino","Santa Clara",37.32813,-122.01491
49,10343,"n wolfe rd","cupertino","Santa Clara",37.32813,-122.01491
